code_name,smiles,YSI,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
1,CCCC(O)CO,23.1,14.6355,-10.7041,3.9314,8.9121,-8.3693,2.6686,0,284.5514,-9.1353,-6.1726,-5.2037,72.6832,0.0,17.2814,0.0579,0.2714,0.0023,4.1022,13.9765,-4.1778,271.1329,0.1397
2,OCCCCCO,18.0,14.6533,-10.8265,3.8267,8.7807,-8.5479,2.3296,0,288.1659,-10.5736,-6.8586,-4.9671,72.7149,0.0,17.3287,0.0577,0.1164,0.001,4.3847000000000005,13.8198,-3.9005,283.0549,0.1413
3,CCCCCCCC(C)O,47.3,15.1188,-10.9437,4.1752,8.3257,-8.1333,1.8361,0,394.7348,-5.0816,-3.0635,-4.9638,114.5774,0.0,16.459,0.0607,0.0962,0.0004,4.6424,12.371,-2.7402,279.2046,2.7277000000000022
4,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,128.0,13.4794,-10.9776,2.5018,7.905,-7.7589,0.1656,0,470.7647,-0.8137000000000001,-0.4974,-5.023,191.4144,0.0,15.6639,0.0638,0.0731,0.0002,4.9219,11.6285,-2.1911,266.4829,5.911200000000006
5,CCCCCCCCCCCCCCCC,88.258,15.2064,-11.2105,3.9959,7.8189,-7.7413,0.0792,0,587.1465,-1.1743,-0.5719000000000001,-5.0202,191.7588,0.0,15.5603,0.0643,0.0388,0.0002,5.0435,10.7844,-1.3596,280.2984,6.487600000000007
6,CCCCCCCCCCCCCCC,84.116,15.0905,-11.2145,3.876,7.8886,-7.8288,0.103,0,556.2016,-1.0764,-0.5386000000000001,-5.0172,180.1059,0.0,15.7174,0.0636,0.0299,0.0002,5.0161,10.9746,-1.6141,281.0599,6.097500000000006
7,CCCCCCCCCCCCCC,78.431,14.9392,-11.2138,3.7254,7.9898,-8.0331,0.0425,0,522.278,-0.9722,-0.5056,-4.9516,168.4506,0.0,16.0228,0.0624,-0.0216,0.0002,5.0505,11.2061,-1.8969,285.8274,5.707400000000006
8,CCCCCCCCCCCCC,72.513,15.1235,-11.1972,3.9263,8.0297,-7.9136,0.0581,0,499.6131,-0.9002,-0.4867,-5.0214,156.7838,0.0,15.9433,0.0628,0.0581,0.0006,4.8809000000000005,11.3369,-1.9598,281.4385,5.317300000000005
9,CCCCCCCCCCCC,67.055,15.2406,-11.2109,4.0297,8.1376,-8.1102,0.0643,0,470.4237,-0.8137000000000001,-0.4637,-4.9834,145.1144,0.0,16.2478,0.0615,0.0137,0.0003,4.8947,11.5636,-2.2448,285.5243,4.9272000000000045
10,CCCCCCCCCCC,60.089,15.1613,-11.2143,3.947,8.2146,-8.2543,0.0549,0,439.2306,-0.7155,-0.4311,-4.95,133.4585,0.0,16.469,0.0607,-0.0199,0.0003,4.9087,11.8143,-2.6023,286.6937,4.537100000000004
