code_name,smiles,YSI,HOMO-LUMO gap,HOMO,LUMO,IP,Dipole module,Global SASA,G solv. in H2O,G of H-bonds H2O,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Second IP,Second EA,S0-T1 gap,MolLogP,Set
1,CCCC(O)CO,23.1,14.6355,-10.7041,3.9314,8.9121,2.6686,284.5514,-9.1353,-6.1726,72.6832,0.0,17.2814,0.0579,0.2714,0.0023,13.9765,-4.1778,271.1329,0.1397,Training
2,OCCCCCO,18.0,14.6533,-10.8265,3.8267,8.7807,2.3296,288.1659,-10.5736,-6.8586,72.7149,0.0,17.3287,0.0577,0.1164,0.001,13.8198,-3.9005,283.0549,0.1413,Training
3,CCCCCCCC(C)O,47.3,15.1188,-10.9437,4.1752,8.3257,1.8361,394.7348,-5.0816,-3.0635,114.5774,0.0,16.459,0.0607,0.0962,0.0004,12.371,-2.7402,279.2046,2.7277000000000022,Training
4,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,128.0,13.4794,-10.9776,2.5018,7.905,0.1656,470.7647,-0.8137000000000001,-0.4974,191.4144,0.0,15.6639,0.0638,0.0731,0.0002,11.6285,-2.1911,266.4829,5.911200000000006,Training
5,CCCCCCCCCCCCCCCC,88.258,15.2064,-11.2105,3.9959,7.8189,0.0792,587.1465,-1.1743,-0.5719000000000001,191.7588,0.0,15.5603,0.0643,0.0388,0.0002,10.7844,-1.3596,280.2984,6.487600000000007,Training
7,CCCCCCCCCCCCCC,78.431,14.9392,-11.2138,3.7254,7.9898,0.0425,522.278,-0.9722,-0.5056,168.4506,0.0,16.0228,0.0624,-0.0216,0.0002,11.2061,-1.8969,285.8274,5.707400000000006,Training
8,CCCCCCCCCCCCC,72.513,15.1235,-11.1972,3.9263,8.0297,0.0581,499.6131,-0.9002,-0.4867,156.7838,0.0,15.9433,0.0628,0.0581,0.0006,11.3369,-1.9598,281.4385,5.317300000000005,Training
9,CCCCCCCCCCCC,67.055,15.2406,-11.2109,4.0297,8.1376,0.0643,470.4237,-0.8137000000000001,-0.4637,145.1144,0.0,16.2478,0.0615,0.0137,0.0003,11.5636,-2.2448,285.5243,4.9272000000000045,Training
10,CCCCCCCCCCC,60.089,15.1613,-11.2143,3.947,8.2146,0.0549,439.2306,-0.7155,-0.4311,133.4585,0.0,16.469,0.0607,-0.0199,0.0003,11.8143,-2.6023,286.6937,4.537100000000004,Training
12,CC1=CCC=CC1,175.6,11.5782,-8.9075,2.6707,7.857,0.3636,271.2313,-0.7245,-0.3645,80.0426,0.0231,10.5774,0.0945,2.5683,0.3118,13.2919,0.9189,110.4996,2.2827,Training
13,C1=CCC=CC1,101.4,11.7214,-9.1285,2.5929,8.1184,0.0004,244.3012,-0.5717,-0.2913,68.5031,0.0224,10.8148,0.0925,2.711,0.3398,13.889,0.7006,110.5733,1.8926,Training
14,C1=CCCC=C1,98.8,9.8119,-8.7186,1.0933,8.1422,0.3793,243.2813,-0.5421,-0.2456,68.5248,0.0759,9.7981,0.1021,3.2432,0.5368,14.1569,1.5272,79.9907,1.8926,Training
15,C=CCCCCCCCCCC,90.3,12.4966,-9.962,2.5346,8.0059,0.3332,460.223,-1.0094,-0.4733,144.3582,0.0127,11.4631,0.0872,2.2744,0.2256,11.6359,-0.0969,125.5199,4.703200000000004,Training
16,CC(C)=CC(C)(C)C,89.3,11.929,-9.2644,2.6646,8.1993,0.6165,316.3112,-0.6222,-0.419,97.5152,0.0119,11.5317,0.0867,2.4334,0.2567,13.3405,-0.4598,118.8194,2.9987000000000013,Training
17,CC(C)=C(C)C(C)C,87.0,11.5064,-8.8779,2.6286,7.8349,0.0931,316.4686,-0.6011000000000001,-0.4189,97.4705,0.0147,11.1357,0.0898,2.267,0.2308,13.033,-0.1995,113.2124,2.9987000000000013,Training
18,C=CCCCCCCCC,74.8,12.5147,-9.9448,2.5699,8.2104,0.3375,403.6932,-0.8435,-0.4248,121.0276,0.0116,11.6872,0.0855,2.3668,0.2397,12.1523,-0.4154,125.7929,3.923000000000002,Training
19,C=C(C)C(C)(C)C,72.8,12.4187,-9.6276,2.7911,8.6882,0.6542,284.1314,-0.5933,-0.3678,85.8774,0.0102,12.1368,0.0824,2.6198,0.2827,14.057,-1.0288,122.9899,2.608600000000001,Training
20,C=C(C)CC(C)(C)C,68.5,12.1917,-9.6361,2.5556,8.4147,0.5788,307.715,-0.6323000000000001,-0.3914,97.5046,0.0114,11.8058,0.0847,2.5118,0.2672,13.4896,-0.8489,120.7074,2.9987000000000013,Training
21,CCCCC=C(C)C,64.5,11.8616,-9.2174,2.6442,8.0639,0.516,330.8279,-0.682,-0.4169,97.5971,0.0118,11.4349,0.0874,2.3464,0.2408,12.8659,-0.5134000000000001,118.755,3.142800000000002,Training
22,C=CCCCCCCC,64.4,12.523,-9.9803,2.5426,8.3203,0.3186,370.7019,-0.7309,-0.3953,109.3727,0.0113,11.7906,0.0848,2.425,0.2494,12.5389,-0.773,125.501,3.532900000000002,Training
23,CC(C)=C(C)C,62.4,11.5949,-8.7624,2.8325,7.9142,0.0001,271.2211,-0.5218,-0.4006,74.1178,0.0136,11.378,0.0879,2.2252,0.2176,13.486,-0.5846,114.163,2.3626,Training
24,C=CCC(C)(C)C,61.4,12.4456,-9.9241,2.5215,8.7499,0.3438,290.6113,-0.4786,-0.3379,85.9447,0.0105,12.1977,0.082,2.6511,0.2881,13.9514,-1.2797,124.6185,2.608600000000001,Training
25,CC=C(CC)CC,59.8,11.7923,-9.281,2.5113,8.2833,0.2457,298.437,-0.5286000000000001,-0.3583,85.9686,0.012,11.6247,0.086,2.4709,0.2627,13.5549,-0.5493,117.9985,2.752700000000001,Training
26,CCC/C=C/CCC,59.8,12.1455,-9.6483,2.4972,8.2995,0.085,345.6194,-0.6067,-0.382,97.6974,0.0112,11.647,0.0859,2.476,0.2632,12.8342,-0.6825,121.2633,3.142800000000002,Training
27,CC/C=C/CCCC,58.8,12.135,-9.653,2.482,8.3059,0.0941,345.674,-0.6187,-0.3844,97.6994,0.011,11.6701,0.0857,2.4708,0.2616,12.8377,-0.6913,121.6163,3.142800000000002,Validation
28,C/C=C/CCCCC,56.7,12.2782,-9.6032,2.675,8.2049,0.1336,343.1931,-0.676,-0.4103,97.6704,0.0108,11.6668,0.0857,2.3715,0.241,12.7354,-0.8779,121.9016,3.142800000000002,Training
29,C=C(C)CCCCC,56.6,12.2842,-9.6152,2.6691000000000003,8.3502,0.6538,333.3554,-0.7401,-0.4035,97.615,0.0107,11.7912,0.0848,2.4546,0.2556,12.9947,-0.9261,122.6736,3.142800000000002,Training
30,C=CCCCCCC,56.0,12.5277,-9.9752,2.5525,8.4546,0.3122,341.3387,-0.6405000000000001,-0.3689,97.709,0.0108,11.9299,0.0838,2.4897,0.2598,12.9335,-1.0496,125.5548,3.142800000000002,Training
32,C/C=C\C(C)C,54.1,12.2678,-9.5551,2.7126,8.6548,0.2507,278.6541,-0.4838,-0.3496,74.3435,0.0103,12.0872,0.0827,2.6112,0.282,14.0395,-1.0036,122.2907,2.218499999999999,Validation
33,C/C=C(\C)CC,53.7,11.9085,-9.1758,2.7327,8.318,0.3344,275.9773,-0.5354,-0.3695,74.2597,0.0114,11.7611,0.085,2.4374,0.2526,13.8271,-0.7734000000000001,118.5311,2.3626,Training
34,CCC=C(C)C,53.6,11.8609,-9.1575,2.7034,8.3591,0.471,278.7111,-0.5561,-0.3791,74.2634,0.011,11.7774,0.0849,2.4704,0.2591,13.8657,-0.7031000000000001,119.3769,2.3626,Validation
35,CC/C=C/CCC,53.5,12.151,-9.6127,2.5383,8.4238,0.1036,317.0522,-0.5448000000000001,-0.3617,86.0311,0.0106,11.8198,0.0846,2.5139,0.2674,13.2514,-0.8359000000000001,121.7643,2.752700000000001,Training
36,C=C(C)C(C)C,53.4,12.3793,-9.5999,2.7794,8.8138,0.6733,269.8747,-0.5587,-0.3485,74.2798,0.01,12.2629,0.0815,2.6824,0.2934,14.3553,-1.1368,122.9138,2.218499999999999,Training
37,C=CC(C)(C)C,53.1,12.5681,-9.9348,2.6333,9.046,0.3082,266.7112,-0.4264,-0.3202,74.3128,0.0093,12.5365,0.0798,2.7777000000000003,0.3077,14.5329,-1.3953,126.5505,2.218499999999999,Training
39,C=CCC(C)C,50.2,12.5187,-9.9393,2.5794,8.8809,0.3478,273.975,-0.4363,-0.3145,74.3477,0.0099,12.3638,0.0809,2.6989,0.2946,14.2176,-1.4584,125.3119,2.218499999999999,Training
40,C=C(C)CCCC,49.1,12.2685,-9.6079,2.6606,8.4897,0.6624,302.4267,-0.6421,-0.3707,85.9563,0.0105,11.9279,0.0838,2.5258000000000003,0.2674,13.4878,-1.0366,122.4273,2.752700000000001,Validation
42,CC/C=C/CC,47.2,12.1561,-9.605,2.5511,8.594100000000001,0.0573,288.268,-0.4661,-0.3392,74.3704,0.0101,12.0206,0.0832,2.5838,0.2778,13.7882,-0.9641,122.1536,2.3626,Validation
43,C/C=C/CCC,45.8,12.2792,-9.5558,2.7234,8.5203,0.123,284.6149,-0.503,-0.3573,74.3443,0.0101,12.014,0.0832,2.5133,0.2629,13.7252,-1.1162,122.1282,2.3626,Training
44,C=C(CC)CC,45.6,12.2045,-9.6358,2.5686,8.7863,0.6398,272.9331,-0.5068,-0.3238,74.3247,0.0103,12.1954,0.082,2.6886,0.2965,14.1509,-1.0641,122.488,2.3626,Validation
45,C=CC(C)CC,45.1,12.5564,-9.9835,2.5729,8.9353,0.3219,274.5621,-0.4144,-0.3118,74.3746,0.0098,12.3881,0.0807,2.7412,0.3033,14.2008,-1.3981,125.8749,2.218499999999999,Validation
47,CC=C(C)C,43.5,12.106,-9.0567,3.0493,8.4039,0.3691,249.0912,-0.5067,-0.3666,62.5715,0.0103,11.9512,0.0837,2.4283,0.2467,14.2259,-1.0225,120.1662,1.9725,Training
49,C=CCCCC,42.4,12.5334,-9.9394,2.594,8.8017,0.3333,280.6229,-0.4608,-0.31,74.3855,0.0098,12.3006,0.0813,2.6513,0.2858,13.9594,-1.48,125.6388,2.3626,Validation
50,C/C=C\CC,39.8,12.1734,-9.5088,2.6646,8.7597,0.2247,252.6491,-0.4242,-0.3125,62.7033,0.01,12.2384,0.0817,2.6405000000000003,0.2848,14.4454,-1.1763,122.1932,1.9725,Training
51,CC#CCCC,66.9,13.2005,-9.6288,3.5717,8.5958,0.1953,281.9029,-1.1393,-0.49,69.6486,0.0029,13.6831,0.0731,1.7543000000000002,0.1125,13.8507,-2.5416,156.7175,1.8098,Training
52,CC#CCCCC,75.2,13.1572,-9.6601,3.497,8.4032,0.2058,311.0027,-1.2201,-0.5161,81.3087,0.003,13.462,0.0743,1.6722,0.1039,13.275,-2.2884,156.5668,2.1999,Training
53,CC#CCCCCC,81.2,13.1357,-9.6741,3.4617,8.2619,0.2216,339.5559,-1.3065,-0.5392,92.9735,0.003,13.2985,0.0752,1.6127,0.0978,12.8246,-2.0298,156.5277,2.59,Training
54,C#CCCCCCC,74.1,13.5877,-10.1373,3.4503,8.5419,0.5935,334.1401,-1.334,-0.5727,92.9953,0.0029,13.658,0.0732,1.7129,0.1075,13.0875,-2.0969,159.8937,2.59,Training
55,C=CCCC(=C)C,67.7,11.9889,-9.5448,2.4441,8.411,0.5941000000000001,294.7073,-0.8648,-0.3924,85.1963,0.0189,10.6854,0.0936,3.0683,0.4409,13.7257,1.7232,117.9727,2.5287,Training
56,CC#CCC,54.7,13.2575,-9.6066,3.6509,8.7297,0.1404,254.8615,-1.1143,-0.479,57.9822,0.0028,13.8689,0.0721,1.7952,0.1162,14.3942,-2.7527,157.1523,1.4197,Training
57,C#CCCC,47.3,13.671,-10.0771,3.5938,9.2097,0.6341,247.2128,-1.0848,-0.4972,58.0082,0.0025,14.4077,0.0694,2.0058,0.1396,14.9822,-3.2469,160.211,1.4197,Training
58,c1ccc(-c2ccccc2-c2ccccc2)cc1,1338.9,9.7773,-9.1493,0.628,7.5959,0.1821,439.0136,-1.7533,-0.3625,193.0809,0.1323,7.9198,0.1263,3.636,0.8346,11.8241,5.1516,84.5602,5.020600000000003,Training
59,c1cc2c3c(c1)ccc1cccc(c13)C2,1312.8,8.9933,-8.6637,0.3296,7.6009,0.5796,367.3233,-1.9021,-0.4546,154.0201,0.1811,7.79,0.1284,3.7059,0.8815000000000001,12.2123,4.8294,72.0879,3.897200000000001,Training
60,c1ccc2c(c1)-c1cccc3cccc-2c13,1291.9,8.034,-8.7349,-0.7009000000000001,7.6613,0.3211,383.484,-1.8221,-0.3188,165.0669,0.3106,7.108,0.1407,4.1073,1.1867,12.1804,5.7176,60.1208,4.487200000000002,Training
