Name,YSI,HOMO,IP,Dipole module,G of H-bonds H2O,Total FOD,nBase,VR1_A,AATS6dv,AATS5d,AATS0Z,AATS4se,AATS5se,AATS3i,AATS5i,ATSC2c,ATSC3c,ATSC5c,ATSC6c,ATSC8c,ATSC0dv,ATSC1dv,ATSC3dv,ATSC4dv,ATSC6dv,ATSC7dv,ATSC8dv,ATSC2d,ATSC3d,ATSC4d,ATSC5d,ATSC7d,ATSC8d,ATSC1s,ATSC2s,ATSC3s,ATSC4s,ATSC5s,ATSC7s,ATSC1m,ATSC3se,ATSC1p,ATSC4p,ATSC6p,ATSC3i,ATSC5i,ATSC7i,ATSC8i,AATSC4c,AATSC5c,AATSC6c,AATSC3dv,AATSC0d,AATSC2d,AATSC3d,AATSC5d,AATSC3s,AATSC4s,AATSC5s,AATSC1se,AATSC3se,AATSC4se,AATSC0i,MATS1c,MATS2c,MATS3c,MATS4c,MATS5c,MATS6c,MATS1dv,MATS2dv,MATS1d,MATS2d,MATS4d,MATS1s,MATS2s,MATS3s,MATS3v,MATS1se,GATS1c,GATS2c,GATS3c,GATS5c,GATS6c,GATS1dv,GATS2dv,GATS4dv,GATS5dv,GATS6dv,GATS1d,GATS3d,GATS4d,GATS6d,GATS4s,GATS3Z,GATS2m,GATS4m,GATS5m,GATS5v,GATS2i,GATS3i,GATS4i,GATS6i,BCUTc-1h,BCUTc-1l,BCUTdv-1l,BCUTd-1h,BCUTd-1l,BCUTs-1h,BCUTs-1l,BCUTZ-1h,BCUTv-1h,BCUTv-1l,BCUTp-1h,BalabanJ,nBondsD,RNCG,RPCG,C1SP2,C1SP3,Xch-7d,Xc-5d,Xpc-6d,Xpc-5dv,AXp-4d,AXp-5d,AXp-3dv,AXp-5dv,Mp,NsCH3,NdCH2,NssCH2,NsssN,SaasC,SaaaC,SssssC,MAXsCH3,MAXssCH2,MINssCH2,ETA_shape_y,ETA_shape_x,AETA_beta_s,AETA_beta_ns_d,AETA_eta_RL,AETA_eta_F,ETA_eta_BR,ETA_dBeta,nHBDon,IC1,IC5,SIC4,BIC2,CIC1,MIC1,ZMIC5,PEOE_VSA2,PEOE_VSA3,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,SMR_VSA3,SMR_VSA5,SMR_VSA9,SlogP_VSA1,SlogP_VSA8,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState4,VSA_EState9,MDEC-22,AMID_C,MPC8,nHRing,n7aRing,naHRing,nAHRing,n5AHRing,n6AHRing,nFRing,n10FRing,nG12FRing,nFaRing,n10FaRing,nG12FaRing,nFARing,n9FARing,n10FARing,RotRatio,GGI2,GGI3,GGI4,GGI5,GGI6,Set
M1,23.1,-10.7041,8.9121,2.6686,-6.1726,0.0,0,16.73873152,0.0,1.16,16.84210526,7.495152778,7.51338864,169.335389,174.8053748,-0.080591736,0.159705883,0.028220299,-0.00708095,0.0,50.94736842,-0.213296399,5.905817175,-14.68975069,-0.221606648,3.324099723,0.0,-2.67867036,-1.880886427,-1.191135734,0.67867036,0.207756233,0.0,-7.701831333,-7.08671899,11.69475223,-7.997229917,-7.910357033,1.368651893,-78.31487249,0.528352609,-0.042571124,-0.144105633,0.769229627,-3.365312573,-2.042898751,1.128178467,0.0,-0.003333158,0.001128812,-0.000472063,0.140614695,0.299168975,-0.083708449,-0.04478301,0.027146814,0.278446482,-0.222145275,-0.316414281,-0.015367128,0.012579824,-0.012123672,1.062642212,-0.514983361,-0.111216052,0.167918509,-0.147191545,0.049848092,-0.020846215,-0.004419192,-0.094040548,0.182613169,-0.279803241,-0.110596708,-0.188218326,-0.0974172,0.122484785,-0.070688091,-0.151011408,1.40980066,0.85889957,0.73440225,1.087404125,1.08446114,1.001033058,1.026794938,1.118801653,1.130578512,0.895041322,1.583333333,1.055555556,0.87962963,0.0,1.095857027,0.941405428,1.159109737,0.960208257,1.060443043,0.874723632,1.526948283,0.988353331,0.814620423,0.16249662,0.310536178,-0.22841388,0.987944225,3.025702943,0.987132425,6.003751049,1.244932566,8.007477694,20.75849956,14.7071684,1.852382798,2.831819966,0,0.424078908,0.226818614,0,2,0.0,0.0,0.204124145,0.132111922,0.232307808,0.204124145,0.166529566,0.091287093,0.565884526,1,0,3,0,0.0,0.0,0.0,1.971111111,0.932268519,-0.103333333,0.157894737,0.0,0.5,0.0,0.472580059,0.231620572,0.10615315,-3.5,2,2.183754832,3.681880803,0.866747559,0.807230664,2.064172682,18.46822986,14.2679086,0.0,0.0,0.0,0.0,0.0,0.0,25.86934683,0.0,0.0,0.0,6.103966388,6.606881965,6.420821623,6.420821623,0.0,0.0,10.21305479,0.0,0.0,0.0,1.650963624,1.323803757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.666666667,0.25,0.08,0.0,0.0,Training
M2,18.0,-10.8265,8.7807,2.3296,-6.8586,0.0,0,16.79992835,1.666666667,1.333333333,16.84210526,7.398930303,7.553325,170.0733615,174.3821198,-0.052827864,0.034518896,-0.047309676,0.122907901,0.044115346,48.94736842,-7.213296399,0.853185596,-0.487534626,5.831024931,-3.878116343,1.108033241,-1.626038781,-0.354570637,-0.398891967,-0.443213296,0.415512465,0.069252078,-5.94598338,-8.689058172,-2.637119114,-4.808864266,-6.980609418,-3.98199446,-78.31487249,-0.090756654,-0.042571124,-0.301109961,0.395526488,-1.967932663,-2.464802209,2.280404406,0.376059489,1.48e-05,-0.001971237,0.00819386,0.020313943,0.193905817,-0.050813712,-0.008442158,-0.018467221,-0.06278855,-0.14572316,-0.290858726,-0.015367128,-0.002160873,-0.005531326,1.062642212,-0.485191326,-0.073312418,0.036498253,0.000656052,-0.087539327,0.363875666,-0.155555556,-0.228763441,-0.004761905,-0.262053571,-0.062337662,-0.14587156,-0.119906346,-0.027726809,-0.003040269,-0.151011408,1.354494439,0.807866902,0.626349141,1.1972606,1.411842705,1.103225806,1.091733871,0.880351906,1.087903226,1.323870968,1.628571429,0.930612245,0.888311688,0.325714286,0.906422018,0.830475489,1.296655619,0.865779752,0.92123366,0.78798128,1.525671068,0.930326984,0.888666439,0.324970392,0.256052236,-0.223446349,1.82691243,2.177191169,0.987144715,6.003741374,1.327119541,8.007172383,20.75503923,14.70720281,1.847464895,2.447472888,0,0.43979219,0.233042106,0,2,0.0,0.0,0.0,0.0,0.225592232,0.176776695,0.204056942,0.079056942,0.565884526,0,0,5,0,0.0,0.0,0.0,2.088064059,0.9375,0.25,0.0,0.0,0.5,0.0,0.487744795,0.215279771,0.0,-3.5,2,1.933497595,2.879506461,0.677861487,0.620998771,2.314429918,15.46239019,20.17046667,0.0,0.0,0.0,0.0,0.0,0.0,19.26246487,0.0,0.0,0.0,0.0,13.21376393,0.0,19.26246487,0.0,0.0,10.21305479,0.0,0.0,0.0,5.676240019,1.34750277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.222222222,0.125,0.08,0.055555556,0.0,Training
M3,47.3,-10.9437,8.3257,1.8361,-3.0635,0.0,0,33.80638548,0.416666667,1.543859649,13.6,7.056282203,7.08496807,166.7225959,168.0224493,0.001722574,-0.032065265,-4.52e-05,-0.000382217,0.011464493,43.86666667,4.395555556,-11.26666667,2.04,0.346666667,-0.693333333,-5.733333333,-3.422222222,-0.333333333,-0.16,-0.413333333,-1.493333333,-0.533333333,-3.435308642,1.954938272,-5.62962963,-0.047037037,-0.687407407,-1.33962963,-67.03135856,-0.2676408,-0.221691225,0.143738133,-0.151264277,-2.425008517,-0.938863673,-1.050043375,-1.105633225,0.000265195,-7.92e-07,-7.96e-06,-0.150222222,0.262222222,-0.062222222,-0.004444444,-0.007251462,-0.075061728,-0.000681696,-0.012059779,-0.002735674,-0.003568544,0.000241076,1.148980931,-0.477742998,0.003940626,-0.053792722,0.033366814,-9.97e-05,-0.001001888,0.103657897,-0.161923183,0.069549971,-0.237288136,-0.008843036,-0.141856482,0.042564916,-0.08988764,-0.06102063,-0.071894868,1.433850191,0.750610704,1.072198303,0.790539689,0.907258739,1.117021277,1.238049185,0.785648209,0.858262678,0.909004559,1.652542373,0.884745763,0.854826824,0.921610169,0.671071915,1.076722263,1.27233055,0.861840465,0.903448846,0.925470578,1.464873251,0.981743557,0.900458731,0.911121786,0.255312184,-0.230972469,0.987823968,3.021911032,0.987139832,6.002598669,1.261001532,8.006081643,20.77695937,14.70816482,1.868497766,2.773188856,0,0.496639601,0.265640748,0,2,0.0,0.0,0.144337567,0.091287093,0.192689875,0.138502781,0.246493159,0.122545212,0.582192814,2,0,6,0,0.0,0.0,0.0,2.216932477,1.347033258,0.975907029,0.103448276,0.0,0.475,0.0,0.477005561,0.09279167,0.144157952,-4.75,1,1.632877337,4.189898095,0.826707807,0.553572859,3.274013259,13.87306694,15.5867026,0.0,0.0,0.0,0.0,0.0,0.0,58.47637052,0.0,0.0,0.0,0.0,6.103966388,0.0,6.420821623,32.10410811,6.9237372,5.106527395,0.0,0.0,0.0,7.473424937,1.69726892,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.444444444,0.25,0.16,0.111111111,0.081632653,Training
M4,128.0,-10.9776,7.905,0.1656,-0.4974,0.0,0,63.95550911,0.178743961,1.5,12.2,6.898397315,7.102811639,151.6508045,154.8649551,0.042047064,-0.108866872,-0.122168304,0.109038146,0.084814356,60.0,24.64,-22.4,-1.64,14.32,-19.56,6.84,-9.7936,-5.296,-5.7056,-1.1904,-2.3184,-3.8304,-4.937419444,7.761433333,-13.584625,14.63093333,-15.64201667,-12.299225,-55.98092256,-0.385527296,-0.465370589,14.49089942,16.18008194,-88.87013266,-100.669917,-79.72070759,66.83628776,0.000490177,-0.000848391,0.000526754,-0.165925926,0.6016,-0.102016667,-0.03922963,-0.008266667,-0.100626852,0.067735802,-0.108625116,-0.000223802,-0.002855758,0.001580891,1.189600201,-0.25301679,0.335862789,-0.618385683,0.37588106,-0.650569207,0.403929492,0.419047619,-0.232986111,0.141174555,-0.169575576,-0.043907604,-0.684058126,0.548857701,-0.683129357,-0.553376906,-0.043367347,1.777753216,0.694723656,1.961251104,1.9946554,0.269775834,1.283333333,2.543576389,1.141820988,0.845023148,0.871900161,1.728723404,0.953260441,1.214200404,0.944341659,0.170687527,1.868191721,0.985179228,0.521258851,1.813980801,1.813980801,0.985179228,1.868191721,0.521258851,0.36986715,0.242068406,-0.251888868,0.987127283,4.024207855,0.987127283,2.054584579,1.140730956,6.251625541,20.83115182,20.34033626,1.921625541,4.258424923,0,0.075141455,0.03611542,0,9,0.0,0.0,5.331949918,6.293131055,0.155161128,0.068325557,0.179422825,0.068325557,0.591508527,9,0,3,0,0.0,0.0,1.393946759,2.427986111,1.34875,1.313971088,0.0625,0.1875,0.46875,0.0,0.425503776,0.0,1.10615315,-7.5,0,1.423599457,3.747194439,0.60015605,0.392900346,4.220256732,12.93589579,28.59030726,0.0,0.0,0.0,0.0,0.0,0.0,81.57609967,0.0,0.0,0.0,0.0,0.0,16.24497141,5.917906046,19.26246487,62.3136348,0.0,0.0,1.393946759,0.0,1.190550789,1.840238349,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666667,1.555555556,2.375,0.4,0.777777778,0.12244898,Training
M5,88.258,-11.2105,7.8189,0.0792,-0.5719,0.0,0,75.81629445,0.333333333,1.641025641,12.2,6.967826667,6.966335556,165.660475,165.8654172,-0.034301707,-0.000113551,-7.02e-08,-5.56e-10,4.22e-12,40.0,1.64,-0.6,-0.64,-0.72,-0.76,-0.8,-3.9936,-0.256,-0.2816,-0.3072,-0.3584,-0.384,-0.6424,-1.5296,0.024,0.0224,0.0208,0.0176,-55.98092256,-0.001328096,-0.465370589,-0.057970039,-0.061190597,-0.306147111,-0.323641231,-0.341135352,-0.349882412,-3.31e-08,-6e-10,-5.15e-12,-0.004444444,0.2016,-0.0416,-0.001896296,-0.002625641,0.000177778,0.000177778,0.000177778,-0.000223802,-9.84e-06,-1.08e-05,1.189600201,-0.06285229,-0.248030736,-0.000583871,-2.3e-05,-4.16e-07,-3.58e-09,0.041836735,-0.232291667,0.117589893,-0.206349206,-0.011085916,-0.168945929,-0.20532646,0.002290951,-0.001906318,-0.043367347,1.582365146,1.438835127,0.953072822,0.95037738,0.949032089,1.5,1.518489583,1.001388889,0.99465812,0.986805556,1.488095238,1.008230453,1.00308642,0.990226337,0.851947308,0.967456427,1.454312194,0.965073529,0.962324032,0.962324032,1.454312194,0.967456427,0.965073529,0.959116285,0.208533317,-0.196121624,0.98714361,2.205553859,0.98714361,2.025760815,1.305098634,6.208695065,20.78822134,20.38352228,1.878695065,2.828262413,0,0.074018442,0.030173457,0,2,0.0,0.0,0.0,0.0,0.188980579,0.134413945,0.265931291,0.134413945,0.591508527,2,0,14,0,0.0,0.0,0.0,2.290220142,1.48601466,1.372777778,0.0,0.0,0.46875,0.0,0.494638348,0.0,-8.88e-16,-7.5,0,1.07832208,3.06346519,0.468631617,0.302981094,4.56553411,8.788769208,38.47672468,0.0,0.0,0.0,0.0,0.0,0.0,103.7389771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89150272,13.8474744,0.0,0.0,0.0,0.0,23.26713828,1.92677735,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866666667,0.222222222,0.125,0.08,0.055555556,0.040816327,Validation
M7,78.431,-11.2138,7.9898,0.0425,-0.5056,0.0,0,59.57245179,0.311111111,1.616161616,12.13636364,6.964595926,6.96254,165.8654172,166.1448839,-0.030039417,-0.000113551,-7.02e-08,-5.52e-10,6.32e-09,34.63636364,1.559917355,-0.69214876,-0.743801653,-0.847107438,-0.898760331,-0.950413223,-3.388429752,-0.297520661,-0.330578512,-0.363636364,-0.429752066,-0.462809917,-0.646694215,-1.359504132,0.026859504,0.024793388,0.022727273,0.018595041,-56.280686,-0.001519,-0.467862529,-0.066540449,-0.070699227,-0.350153499,-0.372744047,-0.395334595,-0.406629869,-3.86e-08,-7.09e-10,-6.13e-12,-0.005915801,0.198347107,-0.040338449,-0.002542912,-0.003673095,0.000229568,0.000229568,0.000229568,-0.000256395,-1.3e-05,-1.45e-05,1.186003786,-0.071488242,-0.247775923,-0.000672436,-2.68e-05,-4.91e-07,-4.25e-09,0.046084356,-0.231471066,0.129844961,-0.203373016,-0.015432099,-0.186642815,-0.200854701,0.002849003,-0.002523403,-0.049833887,1.593421468,1.430588463,0.946582044,0.943037065,0.941138168,1.501312336,1.522278465,1.000072908,0.990667833,0.979381744,1.489583333,1.010683761,1.003665123,0.985416667,0.842236467,0.962555963,1.447959184,0.959347443,0.955555556,0.955555556,1.447959184,0.962555963,0.959347443,0.951005291,0.205834185,-0.195370355,0.98714361,2.202389008,0.98714361,2.025740753,1.306406514,6.206030002,20.78555628,20.38431865,1.876030002,2.784765531,0,0.084178235,0.034315075,0,2,0.0,0.0,0.0,0.0,0.191421356,0.136505932,0.268827889,0.136505932,0.590416304,2,0,12,0,0.0,0.0,0.0,2.285446899,1.481983418,1.37204142,0.0,0.0,0.464285714,0.0,0.493872397,0.0,-8.88e-16,-6.5,0,1.090652803,3.174674232,0.50452905,0.324376975,4.368778815,8.95464295,31.97032701,0.0,0.0,0.0,0.0,0.0,0.0,90.89733387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.04985948,13.8474744,0.0,0.0,0.0,0.0,19.17822878,1.916319215,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846153846,0.222222222,0.125,0.08,0.055555556,0.040816327,Training
M8,72.513,-11.1972,8.0297,0.0581,-0.4867,0.0,0,52.09211101,0.296296296,1.6,12.09756098,6.96254,6.960072889,165.9935061,166.3265372,-0.027908272,-0.000113551,-7.02e-08,-3.56e-10,1.31e-07,31.95121951,1.511005354,-0.749553837,-0.809042237,-0.928019036,-0.987507436,-1.046995836,-3.092801904,-0.323616895,-0.361689471,-0.399762046,-0.475907198,-0.513979774,-0.649315883,-1.274092802,0.028554432,0.026174896,0.02379536,0.019036288,-56.46386143,-0.001636559,-0.46938527,-0.071844684,-0.07663433,-0.377252749,-0.40327018,-0.429287611,-0.442296327,-4.21e-08,-7.8e-10,-4.4e-12,-0.006940313,0.196311719,-0.039651306,-0.002996453,-0.004441801,0.000264393,0.000264393,0.000264393,-0.000276522,-1.52e-05,-1.71e-05,1.18379311,-0.076762202,-0.247622196,-0.000727641,-2.92e-05,-5.4e-07,-3.04e-09,0.048473282,-0.231199843,0.136818182,-0.201981352,-0.018610346,-0.197021661,-0.198255114,0.003208985,-0.002950753,-0.053846154,1.600142827,1.425570678,0.942610512,0.938465532,0.936151307,1.502290076,1.524760227,0.99899761,0.987616624,0.973706531,1.490909091,1.012345679,1.003979186,0.981668537,0.8372534,0.95950346,1.444068752,0.955710956,0.951159951,0.951159951,1.444068752,0.95950346,0.955710956,0.945597612,0.204365211,-0.194875323,0.98714361,2.200562219,0.98714361,2.025730816,1.307309446,6.20458528,20.78411156,20.38484534,1.87458528,2.758149818,0,0.090381104,0.036843661,0,2,0.0,0.0,0.0,0.0,0.193048541,0.137944174,0.270710678,0.137944174,0.589750314,2,0,11,0,0.0,0.0,0.0,2.282488319,1.479591837,1.371527778,0.0,0.0,0.461538462,0.0,0.493401043,0.0,-8.88e-16,-6.0,0,1.097559672,3.223797286,0.524617321,0.336908139,4.259992332,9.048474152,29.05278495,0.0,0.0,0.0,0.0,0.0,0.0,84.47651225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.62903785,13.8474744,0.0,0.0,0.0,0.0,17.15864512,1.909885454,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0.222222222,0.125,0.08,0.055555556,0.040816327,Validation
M9,67.055,-11.2109,8.1376,0.0643,-0.4637,0.0,0,45.0510097,0.277777778,1.580246914,12.05263158,6.960072889,6.957057531,166.1448839,166.548558,-0.025777127,-0.000113551,-7e-08,5.76e-09,1.75e-06,29.26315789,1.454293629,-0.817174515,-0.886426593,-1.024930748,-1.094182825,-1.163434903,-2.8033241,-0.354570637,-0.398891967,-0.443213296,-0.531855956,-0.576177285,-0.652354571,-1.188365651,0.030470914,0.027700831,0.024930748,0.019390582,-56.67633108,-0.001773773,-0.471151535,-0.078060609,-0.083636367,-0.408882666,-0.439170271,-0.469457876,-0.484601679,-4.64e-08,-8.64e-10,8.01e-11,-0.008254288,0.193905817,-0.038935057,-0.003581522,-0.005471769,0.000307787,0.000307787,0.000307787,-0.000300068,-1.79e-05,-2.04e-05,1.181216592,-0.082876704,-0.247445763,-0.000792743,-3.2e-05,-5.97e-07,5.53e-08,0.051040249,-0.231115108,0.144401544,-0.200793651,-0.022857143,-0.208684094,-0.195355191,0.003642987,-0.003496503,-0.058558559,1.607906321,1.419770608,0.937998068,0.93307187,0.930188625,1.503597122,1.527802758,0.99746203,0.983413269,0.965852318,1.492857143,1.014430014,1.004285714,0.976388889,0.832331512,0.955905206,1.439547721,0.951353276,0.945789807,0.945789807,1.439547721,0.955905206,0.951353276,0.93883547,0.202780184,-0.194276521,0.98714361,2.198485468,0.98714361,2.025720947,1.308455729,6.20303177,20.78255805,20.38548318,1.87303177,2.727242813,0,0.097570838,0.03977454,0,2,0.0,0.0,0.0,0.0,0.195082521,0.139793342,0.273011865,0.139793342,0.588979168,2,0,10,0,0.0,0.0,0.0,2.279016097,1.475907029,1.370867769,0.0,0.0,0.458333333,0.0,0.49285113,0.0,-8.88e-16,-5.5,0,1.105013997,3.260828171,0.546039717,0.350945542,4.142913516,9.15063329,26.50884694,0.0,0.0,0.0,0.0,0.0,0.0,78.05569063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.20821623,13.8474744,0.0,0.0,0.0,0.0,15.15959565,1.90238289,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818,0.222222222,0.125,0.08,0.055555556,0.040816327,Validation
M10,60.089,-11.2143,8.2146,0.0549,-0.4311,0.0,0,38.45867723,0.253968254,1.555555556,12.0,6.957057531,6.953288333,166.3265372,166.8260839,-0.023645982,-0.000113551,-6.39e-08,1.31e-07,1.36e-05,26.57142857,1.387755102,-0.897959184,-0.979591837,-1.142857143,-1.224489796,-1.306122449,-2.521632653,-0.391836735,-0.444081633,-0.496326531,-0.600816327,-0.653061224,-0.655918367,-1.102244898,0.032653061,0.029387755,0.026122449,0.019591837,-56.92573158,-0.001936,-0.473224807,-0.085443368,-0.092015935,-0.446278587,-0.481980874,-0.517683161,-0.535534304,-5.15e-08,-8.87e-10,2.08e-09,-0.009977324,0.191020408,-0.038206555,-0.004353741,-0.006893424,0.000362812,0.000362812,0.000362812,-0.000327981,-2.15e-05,-2.49e-05,1.178175469,-0.090050215,-0.247241233,-0.000870673,-3.55e-05,-6.12e-07,1.43e-06,0.053763441,-0.231345715,0.152589241,-0.20001295,-0.028701066,-0.221900028,-0.192097027,0.004173187,-0.004208754,-0.064171123,1.616974694,1.412989758,0.93257495,0.926602687,0.922908779,1.505376344,1.531606386,0.995221027,0.977449223,0.954599761,1.495726496,1.017094017,1.004537301,0.968660969,0.827682142,0.951599327,1.43422865,0.946034418,0.939078283,0.939078283,1.43422865,0.951599327,0.946034418,0.93013468,0.201037299,-0.193526799,0.98714361,2.196051868,0.98714361,2.025711167,1.309948437,6.201330501,20.78085678,20.3862843,1.871330501,2.690915527,0,0.106003303,0.043212016,0,2,0.0,0.0,0.0,0.0,0.197697639,0.142258898,0.275888348,0.142258898,0.588075825,2,0,9,0,0.0,0.0,0.0,2.274883866,1.472222222,1.37,0.0,0.0,0.454545455,0.0,0.492201233,0.0,-8.88e-16,-5.0,0,1.113042302,3.271581588,0.568394462,0.366755904,4.016240715,9.261899448,24.56246635,0.0,0.0,0.0,0.0,0.0,0.0,71.63486901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.78739461,13.8474744,0.0,0.0,0.0,0.0,13.18512474,1.893523839,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.222222222,0.125,0.08,0.055555556,0.040816327,Training
M12,175.6,-8.9075,7.857,0.3636,-0.3645,0.0231,0,18.41161203,0.0,1.166666667,15.41176471,6.936910667,6.807168,155.7203983,177.8520733,-0.018686597,-0.019622088,0.009476837,0.004773902,0.0,32.94117647,7.588235294,-19.70242215,-2.356401384,3.363321799,0.0,0.0,-2.972318339,-3.242214533,-0.581314879,1.816608997,0.0,0.0,-0.277777778,-0.444444444,-1.75,-0.055555556,0.666666667,0.0,6.75e-14,-0.062941772,-4.16e-16,-0.821855125,0.511918235,-14.50907278,7.680161078,0.0,0.0,2.37e-06,0.000526491,0.001591301,-0.562926347,0.359861592,-0.099077278,-0.092634701,0.100922722,-0.05,-0.001683502,0.037037037,2.37e-17,-0.001798336,-0.00058687,1.324165703,0.022481829,-0.230719995,-0.207660285,0.000878192,0.195014634,0.589424995,0.230357143,-0.257261905,0.230769231,-0.275320513,-0.048951049,-0.090909091,-0.082424242,-0.278181818,-0.313061224,4.12e-15,1.06026256,1.349015285,1.245985738,0.493459202,0.156437633,0.9,1.562380952,0.706493506,0.377777778,0.0,1.0,1.195604396,0.673659674,0.0,0.808815427,1.276734694,1.100952381,0.941991342,0.431746032,0.431746032,1.100952381,1.276734694,0.941991342,0.0,0.272904451,-0.309574595,0.99594218,3.053927241,0.99384086,2.216906685,1.408765988,6.286960104,20.86648638,20.29710543,1.956960104,2.12291795,2,0.212259782,0.145495143,0,1,0.102062073,0.0,0.40824829,0.234708048,0.163339103,0.112630946,0.151111085,0.055006231,0.646633674,1,0,2,0,0.0,0.0,0.0,2.170138889,1.166666667,1.144675926,0.142857143,0.0,0.5,0.0,0.484835264,0.278340803,0.106366712,-1.5,0,2.254447579,3.572469459,0.87400659,0.692061954,1.833015262,16.41933306,13.59753139,0.0,0.0,0.0,0.0,0.0,0.0,19.76538045,0.0,0.0,0.0,0.0,0.0,0.0,6.420821623,11.99392615,25.15179752,0.0,0.0,1.502314815,0.0,6.083643419,1.953832189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.444444444,0.1875,0.111111111,0.0,0.0,Validation
