Name,YSI,HOMO,IP,Dipole module,G of H-bonds H2O,Total FOD,ALogP,AATS0m,AATS4e,AATS5e,AATS6e,AATS5p,AATS8p,AATS4i,AATS7i,AATS3s,AATS5s,ATSC4c,ATSC5c,ATSC6c,ATSC1m,ATSC1v,ATSC3e,ATSC4p,ATSC6p,ATSC3i,ATSC5i,ATSC7i,ATSC8i,ATSC1s,ATSC2s,ATSC3s,ATSC4s,ATSC5s,ATSC7s,AATSC3c,AATSC4c,AATSC6c,AATSC1e,AATSC3e,AATSC4e,AATSC0i,AATSC7i,AATSC0s,AATSC3s,AATSC4s,AATSC5s,AATSC7s,AATSC8s,MATS1c,MATS2c,MATS4c,MATS5c,MATS6c,MATS3v,MATS1e,MATS7e,MATS8e,MATS1p,MATS6p,MATS8i,MATS1s,MATS2s,MATS3s,MATS5s,GATS1c,GATS2c,GATS3c,GATS4c,GATS5c,GATS6c,GATS7c,GATS8c,GATS2m,GATS3m,GATS4m,GATS5m,GATS6m,GATS1e,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,VE2_DzZ,VE3_DzZ,VE2_Dzp,VR1_Dzp,VR3_Dzp,VE2_Dzs,VE3_Dzs,VR2_Dzs,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,nBondsD,SpMax1_Bhm,SpMin6_Bhm,SpMin7_Bhm,SpMin8_Bhm,SpMin7_Bhp,SpMin4_Bhi,SpMin6_Bhi,SpMin7_Bhi,SpMax2_Bhs,SpMax3_Bhs,SpMin1_Bhs,SpMin5_Bhs,SpMin6_Bhs,SpMin8_Bhs,C1SP2,C3SP2,C1SP3,SCH-7,SC-5,VPC-5,ASP-2,ASP-3,ASP-4,ASP-5,ASP-6,ASP-7,AVP-3,AVP-4,AVP-5,AVP-6,VE2_Dt,VR2_Dt,VR3_Dt,nHAvin,nsCH3,SHCsats,SHCsatu,SssCH2,SaasC,minwHBa,minHother,mindssC,minaasC,minssssC,maxHBa,maxwHBa,maxHCsats,maxsCH3,maxssCH2,maxdsCH,maxsssCH,hmax,hmin,gmin,ETA_Shape_Y,ETA_BetaP_s,ETA_BetaP_ns_d,ETA_EtaP_F_L,ETA_Eta_B_RC,IC1,BIC2,MIC0,MIC5,nAtomLC,nAtomLAC,MDEC-11,MDEC-12,MDEC-13,MDEC-22,MDEC-33,MLFER_BH,MLFER_S,TPC,piPC7,R_TpiPCTPC,PetitjeanNumber,nFRing,nF12Ring,n6HeteroRing,RotBtFrac,LipinskiFailures,GGI2,GGI3,GGI4,GGI5,GGI7,GGI8,JGI1,JGI2,JGI3,JGI4,JGI5,JGI6,JGI10,VE2_D,VE3_D,VR2_D,TWC,SRW9,WTPT-2,WTPT-3,WPATH,Set
M1,23.1,-10.7041,8.9121,2.6686,-6.1726,0.0,-1.4841,65.54996711,7.495152778,7.51338864,7.295616,0.685733798,0.0,172.761451,184.917652,3.069444444,2.64,-0.119762611,0.028109861,-0.007126251,-78.31487249,-44.25539962,0.528352609,-0.144105633,0.769229627,-3.365312573,-2.042898751,1.128178467,0.0,-7.701831333,-7.08671899,11.69475223,-7.997229917,-7.910357033,1.368651893,0.003801252,-0.003326739,-0.000475,-0.015367128,0.012579824,-0.012123672,1.062642212,0.376059489,2.273314866,0.278446482,-0.222145275,-0.316414281,0.456217298,0.0,-0.515840973,-0.111009352,-0.147333376,0.049796759,-0.021040314,-0.070688091,-0.151011408,0.227985323,0.0,-0.012489863,0.270819421,0.0,-0.188218326,-0.0974172,0.122484785,-0.139186298,1.411267693,0.859076324,0.73391183,1.156771615,1.08718373,1.08414073,0.732319979,0.0,1.159109737,0.943940941,0.960208257,1.060443043,0.707361944,1.071075409,1.526948283,0.988353331,0.814620423,0.78149523,0.0,0.015547226,-1.552574018,0.021883827,60.22313161,2.868639567,0.01951712,-1.393387158,3.093378047,15.99825848,-0.417937671,0.094523615,3.984871024,0,3.480641398,0.401634482,0.281943398,0.083923071,0.041477775,0.164598548,0.402706013,0.662839634,4.358518374,3.38872706,1.647022452,0.020539497,0.361553946,0.638297872,0,0,2,0.0,0.0,0.132111922,0.383682523,0.295679568,0.232307808,0.204124145,0.0,0.0,0.166529566,0.141503561,0.091287093,0.0,0.008430929,3.489740288,2.237016226,0,1,2.066111111,0.0,1.533796296,0.0,0.0,0.0,0.0,0.0,0.0,8.607916667,0.0,0.561111111,1.971111111,0.932268519,0.0,0.0,0.708611111,0.267777778,-0.49537037,0.1579,0.5,0.0,0.08671,0.10595,2.183754832,0.807230664,11.97254971,17.22816755,7,5,0.0,1.5,0.333333333,1.650963624,0.0,0.703,0.717,28,0.0,1.0,0.4,0,0,0,1.0,0,0.666666667,0.25,0.08,0.0,0.0,0.0,0.25,0.111111111,0.05,0.026666667,0.0,0.0,0.0,0.008430929,-1.980956675,3.489740288,65.91331196,0.0,1.809339318,4.797497865,50,Training
M2,18.0,-10.8265,8.7807,2.3296,-6.8586,0.0,-1.7614,65.54996711,7.398930303,7.553325,7.9479576,0.701432194,0.444612905,171.6401827,185.0065269,2.083333333,2.625,0.000477,-0.047519178,0.122956915,-78.31487249,-44.25539962,-0.090756654,-0.301109961,0.395526488,-1.967932663,-2.464802209,2.280404406,0.376059489,-5.94598338,-8.689058172,-2.637119114,-4.808864266,-6.980609418,-3.98199446,0.000818,1.45e-05,0.008197128,-0.015367128,-0.002160873,-0.005531326,1.062642212,0.380067401,2.264542936,-0.06278855,-0.14572316,-0.290858726,-0.663665743,0.432825485,-0.486293772,-0.072485039,0.000645,-0.088220596,0.365236362,-0.003040269,-0.151011408,-0.301879668,0.227985323,-0.012489863,0.139251338,0.353890976,-0.14587156,-0.119906346,-0.027726809,-0.128440367,1.355919971,0.807122852,0.626305644,0.820916844,1.197895793,1.410297717,2.911075258,0.0,1.296655619,0.834091805,0.865779752,0.92123366,1.014939525,1.071075409,1.525671068,0.930326984,0.888666439,0.815760485,5.71e-05,1.59e-17,-25.7157604,6.34e-17,2000012.508,10.15606479,7.93e-17,-24.58915386,285715.7125,15.99825848,-0.421735248,0.069724582,3.881378121,0,3.445328378,0.387837522,0.385354061,0.083923071,0.216380903,0.096713408,0.462471488,0.484776143,4.612641734,3.361075559,1.635639192,0.062798508,0.399875023,0.666666667,0,0,2,0.0,0.0,0.0,0.412132034,0.301776695,0.225592232,0.176776695,0.176776695,0.0,0.204056942,0.133461164,0.079056942,0.035355339,4.76e-17,285715.8157,10.15606417,0,0,1.982777778,0.0,3.0775,0.0,0.0,0.0,0.0,0.0,0.0,8.21125,0.0,0.477777778,0.0,0.9375,0.0,0.0,0.708611111,0.325,0.25,0.0,0.5,0.0,0.09665,-0.00021,1.933497595,0.620998771,11.97254971,15.31677256,7,5,0.0,0.0,0.0,5.676240019,0.0,0.685,0.771,28,0.0,1.0,0.5,0,0,0,1.0,0,0.222222222,0.125,0.08,0.055555556,0.0,0.0,0.083333333,0.044444444,0.03125,0.026666667,0.027777778,0.0,0.0,4.76e-17,-24.9467318,285715.8157,62.87354034,0.0,1.833398397,4.802538777,56,Training
M3,47.3,-10.9437,8.3257,1.8361,-3.0635,0.0,-2.1361,52.488879,7.056282203,7.08496807,7.1032975,0.886168634,0.781567518,168.2751844,169.727418,1.792222222,1.647660819,0.018142348,-5.08e-05,-0.00039,-67.03135856,-75.80236296,-0.2676408,0.143738133,-0.151264277,-2.425008517,-0.938863673,-1.050043375,-1.105633225,-3.435308642,1.954938272,-5.62962963,-0.047037037,-0.687407407,-1.33962963,-0.000425,0.000263,-8.13e-06,-0.002735674,-0.003568544,0.000241,1.148980931,-0.026924189,0.835061728,-0.075061728,-0.000682,-0.012059779,-0.034349478,0.04308642,-0.479007507,0.004668169,0.033190643,-0.000113,-0.001025923,-0.06102063,-0.071894868,-0.018918827,-0.031816914,-0.036537281,-0.015061938,-0.032075764,-0.141856482,0.042564916,-0.08988764,-0.014441782,1.435475484,0.750164616,1.07185155,0.762332902,0.790516263,0.907278818,1.072404474,1.314406015,1.27233055,1.073684912,0.861840465,0.903448846,0.90679534,1.052495105,1.464873251,0.981743557,0.900458731,0.92864472,0.885511343,0.007968445,-2.529680811,0.002079343,48.78216268,3.887364727,0.008269406,-2.492607502,4.933667351,15.99794329,-0.418494014,0.077619442,4.566587521,0,3.522034421,0.830458539,0.67886599,0.582380943,0.536666779,0.806841005,0.176077545,0.03501463,3.532638433,3.294882931,1.785719895,0.712965661,0.441022937,0.099261479,0,0,2,0.0,0.0,0.091287093,0.399637283,0.269289686,0.192689875,0.138502781,0.100323232,0.072168784,0.246493159,0.173883699,0.122545212,0.086218601,0.006273101,4.979340041,3.907882453,0,2,2.450878842,0.0,7.442290722,0.0,0.0,0.0,0.0,0.0,0.0,8.908893062,0.0,0.45,2.216932477,1.347033258,0.0,0.0,0.549121158,0.212345679,-0.095716175,0.10345,0.475,0.0,0.02941,0.14395,1.632877337,0.553572859,9.262279244,13.8996105,10,9,0.125,3.408272627,0.755928946,7.473424937,0.0,0.403,0.41,55,1.386294361,1.0,0.5,0,0,0,1.0,0,0.444444444,0.25,0.16,0.111111111,0.0625,0.0,0.166666667,0.049382716,0.035714286,0.026666667,0.022222222,0.020408163,0.0,0.006273101,-2.768899426,4.979340041,75.30477723,0.0,1.866265458,2.379930761,158,Training
M4,128.0,-10.9776,7.905,0.1656,-0.4974,0.0,5.2586,46.85544224,6.898397315,7.102811639,6.847568077,1.162551801,0.674747274,171.3686195,154.4173638,1.82191358,1.802083333,0.105389032,-0.121545187,0.108473114,-55.98092256,-104.098916,-0.385527296,14.49089942,16.18008194,-88.87013266,-100.669917,-79.72070759,66.83628776,-4.937419444,7.761433333,-13.584625,14.63093333,-15.64201667,-12.299225,-0.000802,0.000488,0.000524,-0.000224,-0.002855758,0.001580891,1.189600201,-0.805259673,0.147302778,-0.100626852,0.067735802,-0.108625116,-0.124234596,0.079971528,-0.25784787,0.339043669,0.377124081,-0.652405896,0.405036689,-0.553376906,-0.043367347,-0.676916221,0.390165441,-0.043367347,0.356919579,0.390165441,-0.684058126,0.548857701,-0.683129357,-0.737427477,1.78300934,0.687948053,1.963336798,0.389685973,1.998775825,0.267536858,2.131266378,0.176647631,0.985179228,1.868191721,0.521258851,1.813980801,0.36986715,1.5625,0.985179228,1.868191721,0.521258851,1.813980801,1.910650624,0.003179687,-4.765414006,0.003179687,237.6784392,8.753469863,0.00256528,-5.10895814,8.342696365,12.11028781,-0.159222738,0.062236682,6.629105469,0,3.699845781,1.249629723,1.249629723,1.249629723,1.058262671,1.184536608,0.631337262,0.631337262,3.569149535,3.376175041,1.984904438,0.88607494,0.88607494,0.88607494,0,0,9,0.0,0.0,6.293131055,0.373988775,0.179422825,0.155161128,0.068325557,0.061326299,0.025515518,0.179422825,0.155161128,0.068325557,0.061326299,0.003179687,14.85490245,8.753469863,0,9,2.6,0.0,3.996622732,0.0,0.0,0.0,0.0,0.0,0.449357639,0.0,0.0,0.2,2.427986111,1.34875,0.0,0.83087963,0.2,0.0,0.449357639,0.0625,0.46875,0.0,0.0,1.10595,1.423599457,0.392900346,6.693715827,17.99839476,16,9,7.825206482,8.393894204,2.858809024,1.190550789,0.0,0.256,-0.149,136,1.945910149,1.0,0.5,0,0,0,1.0,1,1.555555556,2.375,0.4,0.777777778,0.28125,0.0,0.6,0.064814815,0.1484375,0.017391304,0.070707071,0.007653061,0.0,0.003179687,-4.765414006,14.85490245,99.71006943,0.0,1.840238349,0.0,468,Training
M5,88.258,-11.2105,7.8189,0.0792,-0.5719,0.0,-3.9294,46.85544224,6.967826667,6.966335556,6.964595926,0.950884087,0.935431684,165.7556268,166.1448839,1.361111111,1.361111111,-2.82e-06,-2.45e-08,-6.72e-18,-55.98092256,-104.098916,-0.001328096,-0.057970039,-0.061190597,-0.306147111,-0.323641231,-0.341135352,-0.349882412,-0.6424,-1.5296,0.024,0.0224,0.0208,0.0176,-7.34e-07,-2.24e-08,-6.22e-20,-0.000224,-9.84e-06,-1.08e-05,1.189600201,-0.003445812,0.0776,0.000178,0.000178,0.000178,0.000178,0.000178,-0.063617439,-0.247702156,-1.58e-05,-1.48e-07,-4.4e-17,-0.001906318,-0.043367347,-0.002896613,-0.003267974,-0.043367347,-0.002587146,-0.003267974,-0.168945929,-0.20532646,0.002290951,0.002290951,1.583276985,1.437626164,0.952238584,0.950837638,0.949757767,0.948515962,0.947048553,0.945287662,1.454312194,0.967456427,0.965073529,0.962324032,0.959116285,1.5625,1.454312194,0.967456427,0.965073529,0.962324032,0.955325312,4.51e-17,-55.78399743,4.51e-17,114.9126073,7.590675045,6.94e-18,-58.77888091,7.155091127,12.11028781,-0.170505205,0.05000921,5.117283083,0,3.546534702,1.394332638,1.235370584,1.082376542,1.067196251,1.322581698,0.928686955,0.710371775,3.551377708,3.449013557,1.819769702,1.305335432,1.119214251,0.752822517,0,0,2,0.0,0.0,0.0,0.374474335,0.265931291,0.188980579,0.134413945,0.095710678,0.068252966,0.265931291,0.188980579,0.134413945,0.095710678,4.51e-17,7.182037958,7.590675045,0,2,3.2,0.0,20.41955972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.290220142,1.48601466,0.0,0.0,0.2,0.2,1.372777778,0.0,0.46875,0.0,0.0,-0.00021,1.07832208,0.302981094,6.693715827,13.05224569,16,16,0.066666667,4.631272038,0.0,23.26713828,0.0,0.085,0.127,121,2.302585093,1.0,0.466666667,0,0,0,1.0,2,0.222222222,0.125,0.08,0.055555556,0.03125,0.024691358,0.033333333,0.015873016,0.009615385,0.006666667,0.005050505,0.004081633,0.002754821,4.51e-17,-55.78399743,7.182037958,91.54615739,0.0,1.92677735,0.0,680,Validation
M7,78.431,-11.2138,7.9898,0.0425,-0.5056,0.0,-3.3534,46.59499123,6.964595926,6.96254,6.960072889,0.941518994,0.918691582,165.9935061,166.548558,1.361111111,1.361111111,-2.82e-06,-2.45e-08,8.52e-13,-56.280686,-104.6563389,-0.001519,-0.066540449,-0.070699227,-0.350153499,-0.372744047,-0.395334595,-0.406629869,-0.646694215,-1.359504132,0.026859504,0.024793388,0.022727273,0.018595041,-8.47e-07,-2.61e-08,9.46e-15,-0.000256,-1.3e-05,-1.45e-05,1.186003786,-0.004880674,0.080578512,0.00023,0.00023,0.00023,0.00023,0.00023,-0.072339855,-0.247404847,-1.84e-05,-1.74e-07,6.67e-12,-0.002523403,-0.049833887,-0.004115226,-0.004761905,-0.049833887,-0.003597884,-0.004761905,-0.186642815,-0.200854701,0.002849003,0.002849003,1.59443134,1.429240693,0.945664428,0.943879576,0.942401263,0.940648836,0.938507197,0.935830115,1.447959184,0.962555963,0.959347443,0.955555556,0.951005291,1.571428571,1.447959184,0.962555963,0.959347443,0.955555556,0.945443857,1.59e-17,-50.46111474,1.59e-17,90.61877603,6.309326006,2.78e-17,-49.67765264,6.437114918,12.11024183,-0.170505192,0.049959163,5.117051641,0,3.539392363,1.277259004,1.102114172,0.943256346,0.917541017,1.232765008,0.764123862,0.517757021,3.527339864,3.398655154,1.817798328,1.190317332,0.97871913,0.588997673,0,0,2,0.0,0.0,0.0,0.377961159,0.268827889,0.191421356,0.136505932,0.097541261,0.069896671,0.268827889,0.191421356,0.136505932,0.097541261,1.59e-17,6.472769716,6.309326006,0,2,2.8,0.0,17.4291062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.285446899,1.481983418,0.0,0.0,0.2,0.2,1.37204142,0.0,0.46429,0.0,0.0,-0.00021,1.090652803,0.324376975,6.687609665,12.93432321,14,14,0.076923077,4.537846782,0.0,19.17822878,0.0,0.085,0.127,99,2.079441542,1.0,0.461538462,0,0,0,1.0,2,0.222222222,0.125,0.08,0.055555556,0.03125,0.024691358,0.038461538,0.018518519,0.011363636,0.008,0.00617284,0.005102041,0.004132231,1.59e-17,-50.46111474,6.472769716,86.0438006,0.0,1.916319215,0.0,455,Training
M8,72.513,-11.1972,8.0297,0.0581,-0.4867,0.0,-3.0654,46.43617963,6.96254,6.960072889,6.957057531,0.935431684,0.906734365,166.1448839,166.8260839,1.361111111,1.361111111,-2.82e-06,-2.45e-08,7.7e-11,-56.46386143,-104.9969614,-0.001636559,-0.071844684,-0.07663433,-0.377252749,-0.40327018,-0.429287611,-0.442296327,-0.649315883,-1.274092802,0.028554432,0.026174896,0.02379536,0.019036288,-9.18e-07,-2.85e-08,9.51e-13,-0.000277,-1.52e-05,-1.71e-05,1.18379311,-0.005962328,0.082391434,0.000264,0.000264,0.000264,0.000264,0.000264,-0.07766446,-0.247225478,-2e-05,-1.91e-07,6.69e-10,-0.002950753,-0.053846154,-0.00503663,-0.005930577,-0.053846154,-0.004341338,-0.005930577,-0.197021661,-0.198255114,0.003208985,0.003208985,1.601209482,1.424141285,0.94164583,0.939596854,0.937830166,0.93569475,0.93302569,0.92959307,1.444068752,0.95950346,0.955710956,0.951159951,0.945597612,1.576923077,1.444068752,0.95950346,0.955710956,0.951159951,0.938644689,3.84e-17,-45.80254012,3.84e-17,2000042.483,18.86128267,4.27e-17,-45.66557145,153849.4026,12.11021952,-0.170505185,0.049934926,5.116742619,0,3.534695007,1.207149536,1.025715221,0.867589633,0.831352028,1.17547241,0.663992669,0.404969252,3.511935602,3.365988661,1.816223703,1.120073093,0.89583097,0.500010794,0,0,2,0.0,0.0,0.0,0.380180047,0.270710678,0.193048541,0.137944174,0.09884882,0.071129449,0.270710678,0.193048541,0.137944174,0.09884882,3.84e-17,153849.4218,18.86128267,0,2,2.6,0.0,15.93502336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.282488319,1.479591837,0.0,0.0,0.2,0.2,1.371527778,0.0,0.46154,0.0,0.0,-0.00021,1.097559672,0.336908139,6.683794724,12.74738717,13,13,0.083333333,4.481346495,0.0,17.15864512,0.0,0.085,0.127,88,1.945910149,1.0,0.5,0,0,0,1.0,1,0.222222222,0.125,0.08,0.055555556,0.03125,0.024691358,0.041666667,0.02020202,0.0125,0.008888889,0.006944444,0.005830904,0.005509642,3.84e-17,-45.80254012,153849.4218,83.18599377,0.0,1.909885454,0.0,364,Training
M9,67.055,-11.2109,8.1376,0.0643,-0.4637,0.0,-2.7774,46.25229253,6.960072889,6.957057531,6.953288333,0.927991639,0.89079141,166.3265372,167.1829029,1.361111111,1.361111111,-2.82e-06,-2.44e-08,3.61e-09,-56.67633108,-105.3920578,-0.001773773,-0.078060609,-0.083636367,-0.408882666,-0.439170271,-0.469457876,-0.484601679,-0.652354571,-1.188365651,0.030470914,0.027700831,0.024930748,0.019390582,-1e-06,-3.13e-08,5.01e-11,-0.0003,-1.79e-05,-2.04e-05,1.181216592,-0.007451712,0.084487535,0.000308,0.000308,0.000308,0.000308,0.000308,-0.083835647,-0.247019607,-2.2e-05,-2.12e-07,3.52e-08,-0.003496503,-0.058558559,-0.006308506,-0.007597341,-0.058558559,-0.00534188,-0.007597341,-0.208684094,-0.195355191,0.003642987,0.003642987,1.609035919,1.418249548,0.936982518,0.934596942,0.93244755,0.929787539,0.926366832,0.921789145,1.439547721,0.955905206,0.951353276,0.945789807,0.93883547,1.583333333,1.439547721,0.955905206,0.951353276,0.945789807,0.92989418,0.0,0.0,0.0,68.72631161,5.076158542,2.31e-17,-42.98461181,5.678259282,12.11019763,-0.170505179,0.049911191,5.116124313,0,3.52894746,1.128249307,0.943048402,0.789380648,0.737788127,1.107225182,0.54982705,0.280916655,3.493419117,3.326395621,1.814060284,1.039650088,0.803595146,0.407936188,0,0,2,0.0,0.0,0.0,0.382842712,0.273011865,0.195082521,0.139793342,0.100592232,0.072855339,0.273011865,0.195082521,0.139793342,0.100592232,0.0,5.727192634,5.076158542,0,2,2.4,0.0,14.44196781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.279016097,1.475907029,0.0,0.0,0.2,0.2,1.370867769,0.0,0.45833,0.0,0.0,-0.00021,1.105013997,0.350945542,6.679290299,12.40118171,12,12,0.090909091,4.416250426,0.0,15.15959565,0.0,0.085,0.127,77,1.791759469,1.0,0.454545455,0,0,0,1.0,1,0.222222222,0.125,0.08,0.055555556,0.03125,0.024691358,0.045454545,0.022222222,0.013888889,0.01,0.007936508,0.006802721,0.008264463,0.0,0.0,5.727192634,80.23693111,0.0,1.90238289,0.0,286,Training
M10,60.089,-11.2143,8.2146,0.0549,-0.4311,0.0,-2.4894,46.03688191,6.957057531,6.953288333,6.948442222,0.918691582,0.868471273,166.548558,167.6586617,1.361111111,1.361111111,-2.82e-06,-2.09e-08,9.63e-08,-56.92573158,-105.8558287,-0.001936,-0.085443368,-0.092015935,-0.446278587,-0.481980874,-0.517683161,-0.535534304,-0.655918367,-1.102244898,0.032653061,0.029387755,0.026122449,0.019591837,-1.1e-06,-3.48e-08,1.53e-09,-0.000328,-2.15e-05,-2.49e-05,1.178175469,-0.009586725,0.086938776,0.000363,0.000363,0.000363,0.000363,0.000363,-0.091072896,-0.246780939,-2.44e-05,-2.03e-07,1.07e-06,-0.004208754,-0.064171123,-0.008136925,-0.01010101,-0.064171123,-0.006734007,-0.01010101,-0.221900028,-0.192097027,0.004173187,0.004173187,1.618174224,1.411365182,0.931504846,0.928679708,0.926006849,0.922599811,0.918040739,0.911501667,1.43422865,0.951599327,0.946034418,0.939078283,0.93013468,1.590909091,1.43422865,0.951599327,0.946034418,0.939078283,0.918209877,5.05e-18,-41.17294253,5.05e-18,2000029.956,15.95953999,3.53e-17,-39.03244136,181820.8803,12.11017617,-0.170505172,0.049887945,5.114887429,0,3.521812292,1.040066353,0.855100536,0.710724983,0.63793571,1.025256287,0.420302284,0.146638755,3.470829905,3.277713606,1.811077785,0.947698283,0.701610121,0.315204682,0,0,2,0.0,0.0,0.0,0.386097082,0.275888348,0.197697639,0.142258898,0.103033009,0.075444174,0.275888348,0.197697639,0.142258898,0.103033009,5.05e-18,181820.9051,15.95953999,0,2,2.2,0.0,12.95023227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.274883866,1.472222222,0.0,0.0,0.2,0.2,1.37,0.0,0.45455,0.0,0.0,-0.00021,1.113042302,0.366755904,6.673894308,11.7633608,11,11,0.1,4.340313074,0.0,13.18512474,0.0,0.085,0.127,66,1.609437912,1.0,0.5,0,0,0,1.0,1,0.222222222,0.125,0.08,0.055555556,0.03125,0.024691358,0.05,0.024691358,0.015625,0.011428571,0.009259259,0.008163265,0.0,5.05e-18,-41.17294253,181820.9051,77.17462738,0.0,1.893523839,0.0,220,Validation
M12,175.6,-8.9075,7.857,0.3636,-0.3645,0.0231,1.7656,60.00055806,6.936910667,6.807168,6.718464,0.593264328,0.0,167.7405319,0.0,1.873809524,1.222222222,8.76e-05,0.009289661,0.004710606,4.19e-13,-1.56e-13,-0.062941772,-0.821855125,0.511918235,-14.50907278,7.680161078,0.0,0.0,-0.277777778,-0.444444444,-1.75,-0.055555556,0.666666667,0.0,-0.00055,2.66e-06,0.001570202,6.38e-17,-0.001798336,-0.000587,1.324165703,0.0,0.179738562,-0.05,-0.001683502,0.037037037,0.0,0.0,0.021029731,-0.230393667,0.000998,0.193932252,0.590035582,-0.313061224,1.11e-14,0.0,0.0,5.36e-16,0.7,0.0,-0.090909091,-0.082424242,-0.278181818,0.206060606,1.061941562,1.348149791,1.245480502,0.743660424,0.4944347,0.156687857,0.0,0.0,1.100952381,1.276734694,0.941991342,0.431746032,0.0,1.142857143,1.100952381,1.276734694,0.941991342,0.431746032,0.0,0.003766795,-2.544934354,0.003766795,33.20649335,2.451921808,0.002568871,-2.812865139,3.805110477,12.10010405,-0.147376066,0.061163225,6.063307319,2,3.696563336,0.262812411,0.083923071,0.083923071,0.399277246,0.414622907,0.695612845,1.153251204,3.086205164,2.668500828,1.879160129,0.181182988,0.162052012,0.552631579,0,1,1,0.102062073,0.0,0.234708048,0.34289777,0.236730856,0.163339103,0.112630946,0.102062073,0.0,0.151111085,0.089751259,0.055006231,0.048112522,0.009044274,3.829876892,2.302119966,0,1,0.0,1.077013889,2.311342593,0.0,1.502314815,0.331944444,1.502314815,0.0,0.0,0.0,2.263888889,0.0,2.170138889,1.166666667,2.263888889,0.0,0.380555556,0.097222222,1.144675926,0.14286,0.5,0.0,0.15659,0.10616,2.254447579,0.692061954,6.779077413,20.68929162,0,0,0.0,1.850535862,1.0,6.083643419,0.0,0.111,0.453,48,0.0,2.0,0.25,0,0,0,0.142857143,0,0.444444444,0.1875,0.111111111,0.0,0.0,0.0,0.142857143,0.055555556,0.0375,0.111111111,0.0,0.0,0.0,0.001635682,-3.128849875,4.021533726,71.32209622,0.0,1.953832189,0.0,42,Training
