Name,SaaaC,BertzCT,ATSC6p,SaasC,EState_VSA8,ATSC4dv,GGI8,MPC8,ATSC5i,AATS5d,ZMIC5,ETA_dBeta,VSA_EState4,BIC2,SRW09,GATS4s,AATS5i,GATS5c,AATS3i,BCUTdv-1l,GGI4,PEOE_VSA10,ATSC6d,GGI2,ATSC6c,RotRatio,ATSC7dv,Xpc-6d,BCUTd-1l,JGI4,GGI6,ATSC3dv,GATS6d,SMR_VSA9,SlogP_VSA4,MIC5,VSA_EState5,Xpc-5dv,MATS2dv,MATS1dv,ATSC5d,Xc-5d,JGI5,JGI8,MWC01,Kier3,ATSC1p,ATSC7i,ATSC8dv,GATS3dv,GATS1d,BCUTc-1l,IC1,GGI7,EState_VSA1,nFaHRing,GATS1c,PEOE_VSA9,ATSC2d,GGI3,NdsCH,MATS3v,Lipinski,EState_VSA2,EState_VSA3,JGI2,MATS4d,C2SP1,Xc-6d,EState_VSA7,GhoseFilter,MINssCH2,BCUTv-1l,SlogP_VSA1,YSI,YSI_pred,YSI_pred_sd,Set
M1,0.0,37.06139399,0.769229627,0.0,0.0,-14.68975069,0.0,0,-2.042898751,1.16,14.2679086,-3.5,0.0,0.807230664,0.0,1.095857027,174.8053748,1.087404125,169.335389,0.987944225,0.08,0.0,1.038781163,0.666666667,-0.00708095,0.5,3.324099723,0.204124145,0.987132425,0.026666667,0.0,5.905817175,0.0,0.0,0.0,22.71455137,0.0,0.132111922,-0.094040548,-0.004419192,0.67867036,0.0,0.0,0.0,6,3.84,-0.042571124,1.128178467,0.0,0.90850059,1.583333333,-0.22841388,2.183754832,0.0,6.103966388,0,1.40980066,12.71084835,-2.67867036,0.25,0,-0.070688091,1,6.606881965,6.420821623,0.111111111,-0.110596708,0,0.0,6.9237372,0,-0.103333333,14.7071684,0.0,23.1,18.63085985009668,7.57,CV
M3,0.0,59.74860596,-0.151264277,0.0,6.9237372,2.04,0.0,2,-0.938863673,1.543859649,15.5867026,-4.75,0.0,0.553572859,0.0,0.671071915,168.0224493,0.790539689,166.7225959,0.987823968,0.16,0.0,-0.453333333,0.444444444,-0.000382217,0.666666667,-0.693333333,0.144337567,0.987139832,0.026666667,0.081632653,-11.26666667,0.921610169,0.0,0.0,22.87254568,0.0,0.091287093,-0.161923183,0.103657897,-0.413333333,0.0,0.022222222,0.0,9,9.142857143,-0.221691225,-1.050043375,-5.733333333,1.128267477,1.652542373,-0.230972469,1.632877337,0.0625,0.0,0,1.433850191,6.103966388,-3.422222222,0.25,0,-0.06102063,1,6.103966388,0.0,0.049382716,-0.008843036,0,0.0,6.9237372,0,0.975907029,14.70816482,0.0,47.3,57.88538804351754,14.7,CV
M4,0.0,197.05865,16.18008194,0.0,62.3136348,-1.64,0.0,9,-100.669917,1.5,28.59030726,-7.5,1.393946759,0.392900346,0.0,0.170687527,154.8649551,1.9946554,151.6508045,0.987127283,0.4,0.0,-1.6512,1.555555556,0.109038146,0.266666667,-19.56,5.331949918,0.987127283,0.017391304,0.12244898,-22.4,0.944341659,0.0,22.16287745,21.1161228,0.83087963,6.293131055,-0.232986111,0.419047619,-1.1904,0.0,0.070707071,0.0,15,9.953125,-0.465370589,-79.72070759,6.84,1.119135802,1.728723404,-0.251888868,1.423599457,0.28125,0.0,0,1.777753216,0.0,-9.7936,2.375,0,-0.553376906,0,0.0,16.24497141,0.064814815,-0.043907604,0,0.0,0.0,0,1.313971088,20.34033626,0.0,128.0,283.62464009116354,205.72,CV
M5,0.0,92.60593782,-0.061190597,0.0,13.8474744,-0.64,0.024691358,8,-0.323641231,1.641025641,38.47672468,-7.5,0.0,0.302981094,0.0,0.851947308,165.8654172,0.95037738,165.660475,0.98714361,0.08,0.0,-0.3328,0.222222222,-5.56e-10,0.866666667,-0.76,0.0,0.98714361,0.006666667,0.040816327,-0.6,0.990226337,0.0,0.0,17.34608371,0.0,0.0,-0.232291667,0.041836735,-0.3072,0.0,0.005050505,0.00308642,15,15.07692308,-0.465370589,-0.341135352,-0.8,1.007222222,1.488095238,-0.196121624,1.07832208,0.03125,0.0,0,1.582365146,0.0,-3.9936,0.125,0,-0.001906318,0,0.0,0.0,0.015873016,-0.011085916,0,0.0,0.0,0,1.372777778,20.38352228,0.0,88.258,91.13903213788237,3.86,CV
M6,0.0,84.21143267,-0.065606653,0.0,13.8474744,-0.68809416,0.024691358,7,-0.346477038,1.62962963,35.13690297,-7.0,0.0,0.313129429,0.0,0.847157936,165.9935061,0.946964582,165.7556268,0.98714361,0.08,0.0,-0.362154821,0.222222222,-5.56e-10,0.857142857,-0.823902218,0.0,0.98714361,0.007272727,0.040816327,-0.642824808,0.988162165,0.0,0.0,17.5915464,0.0,0.0,-0.231851007,0.04387487,-0.333182435,0.0,0.005555556,0.003527337,14,14.0,-0.466536201,-0.366275726,-0.869171571,1.007610722,1.488687783,-0.195777038,1.084254462,0.03125,0.0,0,1.587545606,0.0,-3.688999547,0.125,0,-0.00218254,0,0.0,0.0,0.017094017,-0.012994547,0,0.0,0.0,0,1.37244898,20.38388732,0.0,84.116,81.160837061768,5.66,CV
M8,0.0,66.10749561,-0.07663433,0.0,13.8474744,-0.809042237,0.024691358,5,-0.40327018,1.6,29.05278495,-6.0,0.0,0.336908139,0.0,0.8372534,166.3265372,0.938465532,165.9935061,0.98714361,0.08,0.0,-0.437834622,0.222222222,-3.56e-10,0.833333333,-0.987507436,0.0,0.98714361,0.008888889,0.040816327,-0.749553837,0.981668537,0.0,0.0,17.98107191,0.0,0.0,-0.231199843,0.048473282,-0.399762046,0.0,0.006944444,0.004938272,12,12.0,-0.46938527,-0.429287611,-1.046995836,1.008481764,1.490909091,-0.194875323,1.097559672,0.03125,0.0,0,1.600142827,0.0,-3.092801904,0.125,0,-0.002950753,0,0.0,0.0,0.02020202,-0.018610346,0,0.0,0.0,1,1.371527778,20.38484534,0.0,72.513,61.636416595331674,15.56,CV
M9,0.0,56.4385619,-0.083636367,0.0,13.8474744,-0.886426593,0.024691358,4,-0.439170271,1.580246914,26.50884694,-5.5,0.0,0.350945542,0.0,0.832331512,166.548558,0.93307187,166.1448839,0.98714361,0.08,0.0,-0.487534626,0.222222222,5.76e-09,0.818181818,-1.094182825,0.0,0.98714361,0.01,0.040816327,-0.817174515,0.976388889,0.0,0.0,18.04689788,0.0,0.0,-0.231115108,0.051040249,-0.443213296,0.0,0.007936508,0.00617284,11,11.11111111,-0.471151535,-0.469457876,-1.163434903,1.008956471,1.492857143,-0.194276521,1.105013997,0.03125,0.0,0,1.607906321,0.0,-2.8033241,0.125,0,-0.003496503,1,0.0,0.0,0.022222222,-0.022857143,0,0.0,0.0,1,1.370867769,20.38548318,0.0,67.055,79.92897236660716,17.81,CV
M10,0.0,49.05865003,-0.092015935,0.0,13.8474744,-0.979591837,0.024691358,3,-0.481980874,1.555555556,24.56246635,-5.0,0.0,0.366755904,0.0,0.827682142,166.8260839,0.926602687,166.3265372,0.98714361,0.08,0.0,-0.548571429,0.222222222,1.31e-07,0.8,-1.224489796,0.0,0.98714361,0.011428571,0.040816327,-0.897959184,0.968660969,0.0,0.0,17.89154028,0.0,0.0,-0.231345715,0.053763441,-0.496326531,0.0,0.009259259,0.008230453,10,10.0,-0.473224807,-0.517683161,-1.306122449,1.009438471,1.495726496,-0.193526799,1.113042302,0.03125,0.0,0,1.616974694,0.0,-2.521632653,0.125,0,-0.004208754,1,0.0,0.0,0.024691358,-0.028701066,0,0.0,0.0,0,1.37,20.3862843,0.0,60.089,63.54884264125612,8.24,CV
M11,0.0,40.0,-0.102214966,0.0,13.8474744,-1.09375,0.024691358,2,-0.533878192,1.523809524,23.71691719,-4.5,0.0,0.384651504,0.0,0.823671498,167.1829029,0.918681711,166.548558,0.987143609,0.08,0.0,-0.625,0.222222222,1.75e-06,0.777777778,-1.38671875,0.0,0.987143609,0.013333333,0.040816327,-0.99609375,0.956790123,0.0,0.0,16.98219209,0.0,0.0,-0.232111693,0.056578281,-0.5625,0.0,0.011111111,0.012345679,9,9.142857143,-0.475692728,-0.576588448,-1.484375,1.009889471,1.5,-0.192589201,1.121640762,0.03125,0.0,0,1.62770711,0.0,-2.25,0.125,0,-0.005162738,1,0.0,0.0,0.027777778,-0.037037037,0,0.0,0.0,0,1.36882716,20.38728701,0.0,54.006,58.290737496139215,11.74,CV
M12,0.0,107.2067179,0.511918235,0.0,25.15179752,-2.356401384,0.0,0,7.680161078,1.166666667,13.59753139,-1.5,1.502314815,0.692061954,0.0,0.808815427,177.8520733,0.493459202,155.7203983,0.99594218,0.111111111,0.0,0.508650519,0.444444444,0.004773902,0.0,0.0,0.40824829,0.99384086,0.111111111,0.0,-19.70242215,0.0,0.0,0.0,22.11990071,0.0,0.234708048,-0.257261905,0.230357143,1.816608997,0.0,0.0,0.0,7,1.5,-4.16e-16,0.0,0.0,1.248979592,1.0,-0.309574595,2.254447579,0.0,0.0,0,1.06026256,0.0,-2.972318339,0.1875,3,-0.313061224,1,0.0,0.0,0.055555556,-0.048951049,0,0.0,0.0,0,1.144675926,20.29710543,0.0,175.6,102.75366038894256,33.17,CV
